Imię,Liczba,Płeć
ANTONI,4247,M
JAKUB,4050,M
JAN,3979,M
SZYMON,3584,M
ALEKSANDER,3582,M
FRANCISZEK,3340,M
FILIP,2996,M
WOJCIECH,2770,M
MIKOŁAJ,2685,M
KACPER,2429,M
ADAM,2385,M
STANISŁAW,2376,M
MARCEL,2201,M
MICHAŁ,2116,M
LEON,1982,M
NIKODEM,1812,M
IGNACY,1806,M
WIKTOR,1716,M
TYMON,1648,M
IGOR,1581,M
PIOTR,1553,M
OLIWIER,1475,M
MAKSYMILIAN,1441,M
MIŁOSZ,1440,M
BARTOSZ,1254,M
TYMOTEUSZ,1244,M
MATEUSZ,1172,M
OSKAR,1152,M
DAWID,1070,M
JULIAN,1062,M
KRZYSZTOF,1007,M
TOMASZ,984,M
ALAN,965,M
KAROL,948,M
DOMINIK,915,M
GABRIEL,885,M
HUBERT,854,M
MACIEJ,795,M
FABIAN,758,M
PAWEŁ,683,M
BRUNO,627,M
NATAN,588,M
BORYS,587,M
KAMIL,579,M
KSAWERY,545,M
PATRYK,520,M
BARTŁOMIEJ,503,M
KAJETAN,479,M
ADRIAN,454,M
ARTUR,454,M
SEBASTIAN,450,M
OLAF,435,M
KUBA,418,M
CEZARY,404,M
GRZEGORZ,390,M
KRYSTIAN,382,M
TADEUSZ,363,M
ERYK,314,M
WITOLD,303,M
KORNEL,278,M
DANIEL,277,M
HENRYK,277,M
ŁUKASZ,276,M
BŁAŻEJ,260,M
JÓZEF,259,M
MARCIN,250,M
JERZY,243,M
MILAN,235,M
OLIVIER,234,M
KAZIMIERZ,231,M
EMIL,227,M
DAMIAN,226,M
ROBERT,216,M
RAFAŁ,215,M
TOBIASZ,214,M
LEONARD,211,M
TEODOR,207,M
STEFAN,205,M
MIESZKO,199,M
PRZEMYSŁAW,199,M
KONSTANTY,195,M
ALEKS,186,M
RADOSŁAW,183,M
KONRAD,182,M
RYSZARD,175,M
MAREK,168,M
GUSTAW,166,M
ALEX,163,M
NATANIEL,150,M
JEREMI,141,M
JULIUSZ,141,M
GRACJAN,134,M
LEO,134,M
REMIGIUSZ,134,M
ARKADIUSZ,123,M
ANDRZEJ,122,M
FELIKS,117,M
ALBERT,116,M
ALEXANDER,115,M
JACEK,112,M
FLORIAN,110,M
KORDIAN,104,M
IWO,101,M
JĘDRZEJ,100,M
DORIAN,97,M
LUDWIK,94,M
MAKSYM,81,M
SAMUEL,80,M
BRAJAN,78,M
OLIVER,75,M
SEWERYN,75,M
DARIUSZ,74,M
LUCJAN,73,M
WŁADYSŁAW,73,M
EDWARD,65,M
HUGO,65,M
NORBERT,62,M
FRYDERYK,59,M
JEREMIASZ,58,M
ALEKSY,55,M
OLGIERD,55,M
ARON,54,M
ERNEST,54,M
BENIAMIN,52,M
MARCELI,52,M
MAURYCY,50,M
CYPRIAN,49,M
DAVID,49,M
SZCZEPAN,49,M
JOACHIM,46,M
TYTUS,46,M
MARK,45,M
ZBIGNIEW,42,M
MARIUSZ,41,M
BRUNON,37,M
OKTAWIAN,35,M
ZIEMOWIT,34,M
ROMAN,33,M
SYLWESTER,33,M
DENIS,32,M
MAKS,32,M
MAX,32,M
BOGDAN,31,M
KOSMA,31,M
GNIEWOMIR,28,M
KEVIN,28,M
OLIWER,28,M
VINCENT,28,M
EMILIAN,27,M
JONASZ,27,M
MIRON,27,M
NIKOLAS,27,M
